name,song_count,total_views,tradition,file_path
Manilal Nag,199,412315,Hindustani,Hindustani/artist/Manilal Nag.json
Munawar Ali Khan,407,440329,Hindustani,Hindustani/artist/Munawar Ali Khan.json
Saptarshi Chakraborty,131,75262,Hindustani,Hindustani/artist/Saptarshi Chakraborty.json
Mashkoor Ali Khan,233,242450,Hindustani,Hindustani/artist/Mashkoor Ali Khan.json
Bade Fateh Ali Khan,1509,191620775,Hindustani,Hindustani/artist/Bade Fateh Ali Khan.json
Yashwantbua Joshi,133,87072,Hindustani,Hindustani/artist/Yashwantbua Joshi.json
Bickram Ghosh,406,3105972,Hindustani,Hindustani/artist/Bickram Ghosh.json
Zia Mohiuddin Dagar,285,2263616,Hindustani,Hindustani/artist/Zia Mohiuddin Dagar.json
Uma Shankar Mishra,90,67373,Hindustani,Hindustani/artist/Uma Shankar Mishra.json
Jayateerth Mevundi,1349,7626058,Hindustani,Hindustani/artist/Jayateerth Mevundi.json
Shiv Kumar Shukla,49,66153,Hindustani,Hindustani/artist/Shiv Kumar Shukla.json
Tarun Bhattacharya,568,532238,Hindustani,Hindustani/artist/Tarun Bhattacharya.json
Pannalal Ghosh,267,977790,Hindustani,Hindustani/artist/Pannalal Ghosh.json
Bade Ghulam Ali Khan,2008,23698800,Hindustani,Hindustani/artist/Bade Ghulam Ali Khan.json
Siddheshwari Devi,421,697510,Hindustani,Hindustani/artist/Siddheshwari Devi.json
Asad Ali Khan,376,1048389,Hindustani,Hindustani/artist/Asad Ali Khan.json
Falguni Mitra,114,43298,Hindustani,Hindustani/artist/Falguni Mitra.json
Mahesh Kale,1319,77802366,Hindustani,Hindustani/artist/Mahesh Kale.json
Laxmanprasad Jaipurwale,63,48972,Hindustani,Hindustani/artist/Laxmanprasad Jaipurwale.json
Nandini Bedekar,41,97227,Hindustani,Hindustani/artist/Nandini Bedekar.json
L. K. Pandit,118,99948,Hindustani,Hindustani/artist/L. K. Pandit.json
Imdad Khan,21,99935,Hindustani,Hindustani/artist/Imdad Khan.json
Anuradha Pal,256,1031898,Hindustani,Hindustani/artist/Anuradha Pal.json
Sameer Dublay,38,27268,Hindustani,Hindustani/artist/Sameer Dublay.json
Kamal Tambe,23,7834,Hindustani,Hindustani/artist/Kamal Tambe.json
Usman Khan,140,186420,Hindustani,Hindustani/artist/Usman Khan.json
Suyog Kundalkar,33,17141,Hindustani,Hindustani/artist/Suyog Kundalkar.json
Rajendra Kandalgaonkar,157,91151,Hindustani,Hindustani/artist/Rajendra Kandalgaonkar.json
Ragini Trivedi,47,175725,Hindustani,Hindustani/artist/Ragini Trivedi.json
Sulabha Pishawikar,15,2834,Hindustani,Hindustani/artist/Sulabha Pishawikar.json
Aloke Dasgupta,54,37842,Hindustani,Hindustani/artist/Aloke Dasgupta.json
Sayeeduddin Dagar,124,938363,Hindustani,Hindustani/artist/Sayeeduddin Dagar.json
Dinkar Panshikar,58,102344,Hindustani,Hindustani/artist/Dinkar Panshikar.json
