composer_id,name,tradition,song_count,quality_score
Amir Khushrau,Amir Khushrau,,0,1.0
Purandara Dasa,Purandara Dasa,,0,1.0
UnknownComposer,UnknownComposer,,0,1.0
Bidaram Krishnappa,Bidaram Krishnappa,,0,1.0
Embar Raghava Narasimhan,Embar Raghava Narasimhan,,0,1.0
Akkarai Sornalatha,Akkarai Sornalatha,,0,1.0
K. V. Srinivasa Iyengar,K. V. Srinivasa Iyengar,,0,1.0
Mannargudi Sambasiva Bagavathar,Mannargudi Sambasiva Bagavathar,,0,1.0
Sadhu Om,Sadhu Om,,0,1.0
Prayaga Rangadasu,Prayaga Rangadasu,,0,1.0
Mangalam Ganapathi,Mangalam Ganapathi,,0,1.0
T. V. Gopalakrishnan,T. V. Gopalakrishnan,,0,1.0
S. Aravamudhachariar,S. Aravamudhachariar,,0,1.0
Papanasam Sivan,Papanasam Sivan,,0,1.0
Periyazhwar,Periyazhwar,,0,1.0
Tara Natarajan,Tara Natarajan,,0,1.0
Trivandrum Ayya,Trivandrum Ayya,,0,1.0
Abhayambika Balamuralikrishna,Abhayambika Balamuralikrishna,,0,1.0
Lakshmi Krishna,Lakshmi Krishna,,0,1.0
Sitaramayya,Sitaramayya,,0,1.0
Ammachattaram Kannusami Pillai,Ammachattaram Kannusami Pillai,,0,1.0
Ramanathapuram Srinivasa Iyengar,Ramanathapuram Srinivasa Iyengar,,0,1.0
G. Hari Sundareswara Sarma,G. Hari Sundareswara Sarma,,0,1.0
L. Subramaniam,L. Subramaniam,,0,1.0
Jayachamarajendra Wadiyar,Jayachamarajendra Wadiyar,,0,1.0
Kalki Krishnamoorthy,Kalki Krishnamoorthy,,0,1.0
M. P. Sivan,M. P. Sivan,,0,1.0
Thyagaraja,Thyagaraja,,0,1.0
Raja Gururajachar,Raja Gururajachar,,0,1.0
V. V. Subramaniam,V. V. Subramaniam,,0,1.0
M. D. Ramanathan,M. D. Ramanathan,,0,1.0
Bankim Chandra Chatterjee,Bankim Chandra Chatterjee,,0,1.0
Agasthiyar,Agasthiyar,,0,1.0
Thiruppaan Azhwar,Thiruppaan Azhwar,,0,1.0
Subbaraya Sastri,Subbaraya Sastri,,0,1.0
T. N. Padmanabhan,T. N. Padmanabhan,,0,1.0
Nagavalli Nagaraj,Nagavalli Nagaraj,,0,1.0
Thirumazhisai Azhwar,Thirumazhisai Azhwar,,0,1.0
Ghanam Krishnaiyer,Ghanam Krishnaiyer,,0,1.0
Andavan Pitchai,Andavan Pitchai,,0,1.0
Kumara Etendra,Kumara Etendra,,0,1.0
Veena Padmanabhaiah,Veena Padmanabhaiah,,0,1.0
Kottavasal Venkataramana Iyer,Kottavasal Venkataramana Iyer,,0,1.0
Anayampatti Adhisheshayyar,Anayampatti Adhisheshayyar,,0,1.0
Adishankara,Adishankara,,0,1.0
Samartha Ramdas,Samartha Ramdas,,0,1.0
Tulasivanam,Tulasivanam,,0,1.0
Tumu Narasimhadasa,Tumu Narasimhadasa,,0,1.0
Thondaradipodi Azhwar,Thondaradipodi Azhwar,,0,1.0
R. Sundaravalli,R. Sundaravalli,,0,1.0
Sripada Pinakapani,Sripada Pinakapani,,0,1.0
Gopala Dikshitar,Gopala Dikshitar,,0,1.0
Ramapanivada,Ramapanivada,,0,1.0
Sundara Narayana,Sundara Narayana,,0,1.0
Garbapurivasar,Garbapurivasar,,0,1.0
P. N. Muralidharan,P. N. Muralidharan,,0,1.0
Ariyakudi Ramanuja Iyengar,Ariyakudi Ramanuja Iyengar,,0,1.0
Thiruvalluvar,Thiruvalluvar,,0,1.0
A. V. Krishnammachar,A. V. Krishnammachar,,0,1.0
Pambatti Siddhar,Pambatti Siddhar,,0,1.0
Sonti Venkatasubbayya,Sonti Venkatasubbayya,,0,1.0
Manambuchavadi Venkatasubbu Iyer,Manambuchavadi Venkatasubbu Iyer,,0,1.0
Karvetnagar Sarangapani,Karvetnagar Sarangapani,,0,1.0
B. A. Chidambaranathan,B. A. Chidambaranathan,,0,1.0
Chitra Balraj,Chitra Balraj,,0,1.0
Chinniah Pillai,Chinniah Pillai,,0,1.0
Kamalesha Vittala,Kamalesha Vittala,,0,1.0
Appayya Dikshitar,Appayya Dikshitar,,0,1.0
Shuddhananda Bharathi,Shuddhananda Bharathi,,0,1.0
Veenai Krishnamacharya,Veenai Krishnamacharya,,0,1.0
Koneri Appana Iyengar,Koneri Appana Iyengar,,0,1.0
Swathi Thirunal,Swathi Thirunal,,0,1.0
Mysore V. Ramarathnam,Mysore V. Ramarathnam,,0,1.0
Ganesh Kumaresh,Ganesh Kumaresh,,0,1.0
Kunjan Nambiar,Kunjan Nambiar,,0,1.0
Kavalam Narayana Panicker,Kavalam Narayana Panicker,,0,1.0
Veena Raja Rao,Veena Raja Rao,,0,1.0
N. S. Chidambaram,N. S. Chidambaram,,0,1.0
Kuthambai Siddhar,Kuthambai Siddhar,,0,1.0
M. Chandrasekaran,M. Chandrasekaran,,0,1.0
Sundaresha Sharma,Sundaresha Sharma,,0,1.0
G. N. Balasubramaniam,G. N. Balasubramaniam,,0,1.0
